index,x,y,angle,possible,score
0,307.49393,-92.17959,-158.1986,98.900604,99.31563
1,379.5379,-9.702071,-152.35986,97.873215,98.230385
2,356.85242,-123.40778,-150.63095,97.74189,98.64198
3,360.18124,-69.794106,-21.801409,96.79474,99.00013
4,433.37924,-108.451675,-86.0,96.483604,98.363205
5,411.86356,-65.18864,-9.901572,74.24676,98.28746
6,328.83084,7.4332385,-57.215927,73.238106,99.41819
7,395.83826,-85.29968,-138.94109,73.07951,98.32556
8,343.2634,-14.251209,-19.130383,52.534695,98.96675
